client_code,customer_code,due_date,invoice_date,amount,status
1,20,2026-08-13,2026-07-14,71,Paid
1,11,2026-08-16,2026-07-17,60,Paid
1,2,2026-08-16,2026-07-17,94,Partially Paid
1,16,2026-09-04,2026-08-05,93,Pending
1,12,2026-08-25,2026-07-26,100,Partially Paid
1,12,2026-08-24,2026-07-25,81,Overdue
1,19,2026-08-20,2026-07-21,99,Paid
1,9,2026-08-22,2026-07-23,67,Paid
1,14,2026-08-28,2026-07-29,83,Overdue
1,17,2026-09-02,2026-08-03,82,Paid
1,3,2026-08-28,2026-07-29,89,Paid
1,7,2026-08-12,2026-07-13,76,Pending
1,18,2026-08-19,2026-07-20,67,Overdue
1,19,2026-08-23,2026-07-24,52,Paid
1,14,2026-08-29,2026-07-30,57,Paid
1,4,2026-09-05,2026-08-06,86,Partially Returned
1,15,2026-08-17,2026-07-18,77,Partially Paid
1,16,2026-08-24,2026-07-25,56,Pending
1,8,2026-08-31,2026-08-01,78,Partially Returned
1,3,2026-08-26,2026-07-27,74,Paid
1,3,2026-08-28,2026-07-29,86,Returned
1,10,2026-08-17,2026-07-18,88,Partially Paid
1,20,2026-08-12,2026-07-13,55,Pending
1,11,2026-08-11,2026-07-12,89,Partially Returned
1,10,2026-08-29,2026-07-30,53,Paid
1,5,2026-08-18,2026-07-19,50,Overdue
1,5,2026-08-14,2026-07-15,81,Returned
1,17,2026-08-12,2026-07-13,83,Returned
1,13,2026-08-26,2026-07-27,91,Returned
1,20,2026-08-16,2026-07-17,94,Partially Paid
1,19,2026-08-17,2026-07-18,62,Returned
1,15,2026-08-11,2026-07-12,67,Paid
1,20,2026-08-29,2026-07-30,58,Partially Returned
1,14,2026-08-19,2026-07-20,51,Overdue
1,10,2026-08-25,2026-07-26,97,Overdue
1,4,2026-09-05,2026-08-06,96,Partially Paid
1,18,2026-08-31,2026-08-01,71,Overdue
1,19,2026-09-06,2026-08-07,55,Partially Returned
1,20,2026-08-12,2026-07-13,85,Partially Paid
1,19,2026-08-15,2026-07-16,64,Paid
